-1,0
0,8.2
1,8.7
2,9.2
3,9.7
4,10.3
5,10.9
6,11.6
7,12.2
8,13
9,13.8
10,14.6
11,15.4
12,16.4
13,17.3
14,18.4
15,19.4
16,20.6
17,21.8
18,23.1
19,24.5
20,26
21,27.5
22,29.1
23,30.9
24,32.7
25,34.6
26,36.7
27,38.9
28,41.2
29,43.7
30,46.2
31,49
32,51.9
33,55
34,58.3
35,61.7
36,65.4
37,69.3
38,73.4
39,77.8
40,82.4
41,87.3
42,92.5
43,98
44,103.8
45,110
46,116.5
47,123.5
48,130.8
49,138.6
50,146.8
51,155.6
52,164.8
53,174.6
54,185
55,196
56,207.7
57,220
58,233.1
59,246.9
60,261.6
61,277.2
62,293.7
63,311.1
64,329.6
65,349.2
66,370
67,392
68,415.3
69,440
70,466.2
71,493.9
72,523.3
73,554.4
74,587.3
75,622.3
76,659.3
77,698.5
78,740
79,784
80,830.6
81,880
82,932.3
83,987.8
84,1046.5
85,1108.7
86,1174.7
87,1244.5
88,1318.5
89,1396.9
90,1480
91,1568
92,1661.2
93,1760
94,1864.7
95,1975.5
96,2093
97,2217.5
98,2349.3
99,2489
100,2637
101,2793.8
102,2960
103,3136
104,3322.4
105,3520
106,3729.3
107,3951.1
108,4186
109,4434.9
110,4698.6
111,4978
112,5274
113,5587.7
114,5919.9
115,6271.9
116,6644.9
117,7040
118,7458.6
119,7902.1
120,8372
121,8869.8
122,9397.3
123,9956.1
124,10548.1
125,11175.3
126,11839.8
127,12543.9
